it,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,car_id,Category1,Feature1,Category2,Feature2,Category3,Feature3,Category4,Feature4,Mileage,Engine,Max Power,Torque,Seats,Wheel Size,seats
0,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,3979,VXI,400000.0,2015,Third Party insurance,Petrol,5 Seats,120000,KA51,Third Owner,998.0,Manual,2015.0,0,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Seat Headrest, Cup Holders Front",Interior - Interior,"Air Conditioner, Heater, Digital Odometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock",Exterior - Exterior,"Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Wheel Covers, Power Antenna, Chrome Grille",23.1,998.0,67.04,90.0,5,,5
0,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,811000.0,2018,Comprehensive,Petrol,5 Seats,32706,KA05,Second Owner,1497.0,Manual,2018.0,1,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Cup Holders Front, Multifunction Steering Wheel, Navigation System, Smart Access Card Entry, Engine Start Stop Button, Gear Shift Indicator, Luggage Hook And Net",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Outside Rear View Mirror Turn Indicators, Chrome Grille, Roof Rail",17.0,1497.0,121.31,150.0,5,16,5
0,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,585000.0,2018,Comprehensive,Petrol,5 Seats,11949,KA03,First Owner,1199.0,Manual,2018.0,2,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Cup Holders Front, Multifunction Steering Wheel, Navigation System, Glove Box Cooling",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display, Driving Experience Control Eco, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Wheel Covers, Power Antenna, Tinted Glass, Rear Spoiler, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish",23.84,1199.0,84.0,114.0,5,14,5
0,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,462000.0,2014,Comprehensive,Petrol,5 Seats,17794,KA53,First Owner,1197.0,Manual,2014.0,3,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Rear ACVents, Glove Box Cooling",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Defogger, Alloy Wheels, Power Antenna, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish",19.1,1197.0,81.86,113.75,5,14,5
0,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,790000.0,2015,Third Party insurance,Diesel,5 Seats,60000,KA04,First Owner,1248.0,Manual,2015.0,4,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Cruise Control, Navigation System, Engine Start Stop Button, Voice Control, Gear Shift Indicator",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Power Antenna, Tinted Glass, Outside Rear View Mirror Turn Indicators, Chrome Grille, Roof Rail",23.65,1248.0,88.5,200.0,5,16,5
0,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,1900000.0,2020,Third Party insurance,Diesel,5 Seats,20000,KA04,First Owner,1956.0,Manual,2020.0,5,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Rear ACVents, Navigation System, Engine Start Stop Button",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Leather Seats, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Tinted Glass, Rear Spoiler, Outside Rear View Mirror Turn Indicators, Chrome Grille, Halogen Headlamps",17.1,1956.0,170.0,350.0,5,17,5
0,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,5223,T Option BSIV,345000.0,2017,Comprehensive,Petrol,5 Seats,37772,KA05,First Owner,1198.0,Manual,2017.0,6,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks, Radio",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Height Adjustable Front Seat Belts, Seat Lumbar Support, Gear Shift Indicator",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment",Exterior - Exterior,"Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Wheel Covers, Integrated Antenna, Chrome Grille",20.63,1198.0,67.0,104.0,5,,5
0,SUV,30000,Automatic,1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,1200000.0,2021,Third Party insurance,Petrol,5 Seats,30000,KA51,First Owner,998.0,Automatic,2021.0,7,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Multifunction Steering Wheel, Cruise Control, Rear ACVents, Navigation System, Smart Access Card Entry, Engine Start Stop Button, Glove Box Cooling, Voice Control, Battery Saver, Lane Change Indicator",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Sun Roof, Outside Rear View Mirror Turn Indicators, Chrome Grille, Automatic Driving Lights, Roof Rail",18.15,998.0,118.35,171.6,5,16,5
0,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,960000.0,2018,Comprehensive,Petrol,5 Seats,37000,KA03,First Owner,1462.0,Automatic,2018.0,8,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Cruise Control, Rear ACVents, Navigation System, Smart Access Card Entry, Engine Start Stop Button, Voice Control",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Leather Seats, Leather Steering Wheel, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish, Halogen Headlamps",20.28,1462.0,103.25,138.0,5,16,5
0,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,585000.0,2018,Comprehensive,Petrol,5 Seats,11949,KA03,First Owner,1199.0,Manual,2017.0,9,Top Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Comfort & Convenience - Comfort,"Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Cup Holders Front, Multifunction Steering Wheel, Navigation System, Glove Box Cooling",Interior - Interior,"Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Driving Experience Control Eco, Height Adjustable Driver Seat",Exterior - Exterior,"Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Power Antenna, Tinted Glass, Rear Spoiler, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish",23.84,1199.0,84.0,114.0,5,,5
