transmission,model,Year of Manufacture,City,ft,bt,Ownership,Kms Driven,Engine Type,price
1,160,2015.0,0,4,2,4,120000.0,293,400000.0
1,50,2018.0,0,4,7,3,32706.0,396,811000.0
1,273,2018.0,0,4,2,1,11949.0,355,585000.0
1,87,2014.0,0,4,8,1,17794.0,320,462000.0
1,178,2015.0,0,1,7,1,60000.0,218,790000.0
1,101,2020.0,0,1,7,1,20000.0,124,1900000.0
1,37,2017.0,0,4,2,1,37772.0,344,345000.0
0,85,2021.0,0,4,7,1,30000.0,508,1200000.0
0,163,2018.0,0,4,8,1,37000.0,479,960000.0
1,273,2017.0,0,4,2,1,11949.0,355,585000.0
1,157,2018.0,0,4,2,1,50000.0,455,690000.0
0,77,2019.0,0,4,2,1,24887.0,320,682000.0
0,66,2018.0,0,4,2,1,23000.0,476,825000.0
0,273,2018.0,0,4,2,1,48928.0,355,595000.0
1,147,2014.0,0,1,7,4,108862.0,498,690000.0
1,101,2018.0,0,1,7,1,80000.0,124,1350000.0
0,204,2022.0,0,1,7,1,16000.0,508,5595000.0
1,90,2014.0,0,1,2,3,65376.0,418,521000.0
1,265,2022.0,0,4,7,1,10000.0,60,1005000.0
1,63,2016.0,0,4,8,3,67000.0,469,775000.0
0,17,2011.0,0,1,8,4,100000.0,278,2200000.0
1,179,2016.0,0,4,2,1,18083.0,287,582000.0
1,236,2020.0,0,4,7,1,30000.0,94,1090000.0
1,273,2016.0,0,4,2,3,57634.0,355,457000.0
0,211,2016.0,0,4,8,3,50000.0,435,4900000.0
1,63,2015.0,0,4,8,1,110000.0,469,550000.0
0,81,2018.0,0,4,2,1,23447.0,30,570000.0
1,82,2009.0,0,3,2,3,30000.0,192,220000.00000000003
0,200,2017.0,0,4,8,1,33000.0,280,4145000.000000001
1,147,2014.0,0,1,7,3,87667.0,498,861000.0
0,3,2016.0,0,1,8,3,40000.0,381,1785000.0000000002
1,147,2014.0,0,1,7,3,79012.0,498,802999.9999999999
1,101,2021.0,0,1,7,1,31344.0,130,2565000.0
1,87,2018.0,0,4,8,1,50000.0,52,674000.0
1,184,2015.0,0,4,2,1,12434.0,295,349000.0
1,165,2019.0,0,4,4,3,60000.0,300,1050000.0
0,197,2019.0,0,1,8,1,12000.0,278,4425000.0
1,184,2015.0,0,4,2,3,40987.0,295,406000.0
0,17,2020.0,0,4,8,1,18157.0,414,4965000.0
1,285,2011.0,0,1,7,4,120000.0,178,1100000.0
0,236,2020.0,0,1,7,3,40000.0,508,1100000.0
1,90,2016.0,0,4,2,1,89667.0,320,594000.0
1,90,2017.0,0,1,2,1,120000.0,418,710000.0
1,157,2017.0,0,4,2,1,56997.0,455,692000.0
1,75,2013.0,0,4,8,1,120000.0,242,650000.0
0,4,2015.0,0,1,8,1,59000.0,267,2090000.0
1,155,2021.0,0,4,2,1,18835.0,251,411000.00000000006
1,138,2010.0,0,1,7,3,120000.0,496,650000.0
0,213,2016.0,0,4,2,1,40000.0,344,3675000.0
1,273,2019.0,0,4,2,1,60932.0,355,610000.0
0,107,2020.0,0,4,7,3,33539.0,371,1675000.0
1,273,2018.0,0,4,2,3,66837.0,355,530000.0
0,200,2022.0,0,1,8,1,400.0,165,7990000.000000001
1,154,2008.0,0,4,2,3,60000.0,278,250000.0
1,90,2019.0,0,4,2,1,44285.0,320,715000.0
0,203,2014.0,0,1,7,3,100000.0,431,3500000.0
0,264,2021.0,0,1,7,1,25000.0,321,2250000.0
1,77,2018.0,0,4,2,1,36735.0,320,625000.0
0,10,2015.0,0,1,7,1,79000.0,431,2695000.0
1,138,2010.0,0,1,7,3,120000.0,496,650000.0
0,238,2022.0,0,4,2,1,10000.0,344,550000.0
1,265,2018.0,0,1,7,1,53645.0,352,825000.0
1,76,2006.0,0,4,2,3,100000.0,278,220000.00000000003
0,160,2014.0,0,4,2,1,53982.0,296,428000.0
1,249,2014.0,0,1,8,1,110000.0,236,695000.0
1,50,2019.0,0,4,7,3,37741.0,396,930000.0
1,155,2021.0,0,4,2,1,17367.0,251,455000.0
1,73,2017.0,0,1,7,1,94000.0,421,1195000.0
0,256,2021.0,0,1,7,1,33700.0,321,2175000.0
1,179,2014.0,0,4,2,4,54601.0,287,442000.0
1,179,2018.0,0,1,2,1,110000.0,217,690000.0
1,160,2017.0,0,4,2,3,64000.0,293,500000.0
0,15,2016.0,0,1,8,1,40525.0,409,3395000.0000000005
1,163,2015.0,0,1,8,1,100000.0,213,650000.0
0,66,2016.0,0,4,2,3,44154.0,476,537000.0
1,240,2016.0,0,1,4,1,70000.0,461,750000.0
0,248,2018.0,0,4,8,1,79000.0,106,1789999.9999999998
1,273,2017.0,0,4,2,3,68039.0,355,468000.0
1,175,2014.0,0,4,2,3,60000.0,289,420000.0
1,175,2014.0,0,4,2,3,60000.0,289,420000.0
1,90,2021.0,0,4,2,1,10000.0,20,920000.0
1,63,2013.0,0,4,8,1,49873.0,365,533000.0
0,300,2013.0,0,4,2,4,90000.0,395,850000.0
1,249,2017.0,0,1,8,3,48960.0,236,751000.0
1,77,2014.0,0,1,2,3,70000.0,422,388000.0
1,90,2013.0,0,4,2,3,68000.0,320,490000.00000000006
1,133,2016.0,0,1,7,1,23017.0,485,494000.00000000006
1,90,2013.0,0,1,2,3,83000.0,418,525000.0
0,21,2016.0,0,1,7,3,92000.0,140,2890000.0
1,184,2018.0,0,4,2,1,62139.0,295,550000.0
1,89,2013.0,0,3,2,1,74000.0,265,365000.0
0,238,2016.0,0,4,2,3,26500.0,344,420000.0
0,308,2017.0,0,1,8,1,81716.0,398,1895000.0
0,200,2018.0,0,1,8,3,24000.0,438,5990000.0
0,146,2022.0,0,4,7,1,10000.0,57,1050000.0
0,123,2021.0,0,4,7,1,18000.0,101,2075000.0
1,61,2013.0,0,4,2,1,38197.0,475,394000.0
0,157,2017.0,0,4,2,3,23000.0,59,725000.0
1,156,2013.0,0,4,2,1,50000.0,289,240000.0
0,239,2022.0,0,4,7,1,10000.0,27,835000.0
1,77,2019.0,0,4,2,1,19000.0,320,695000.0
0,107,2020.0,0,4,7,1,14000.0,371,1725000.0
1,74,2014.0,0,4,2,1,29268.0,344,330000.0
0,305,2019.0,0,4,8,1,20000.0,393,990000.0
1,295,2018.0,0,4,8,1,30000.0,70,750000.0
0,66,2018.0,0,4,2,1,64374.0,476,755000.0
1,122,2021.0,0,1,7,1,30000.0,508,1750000.0
0,71,2022.0,0,4,7,1,7100.0,121,2083000.0
1,89,2010.0,0,4,2,1,43679.0,265,271000.0
0,73,2018.0,0,4,7,1,40000.0,450,1280000.0
1,90,2012.0,0,1,2,1,40562.0,424,436000.00000000006
0,73,2021.0,0,4,7,3,26500.0,64,1675000.0
0,85,2019.0,0,4,7,1,20000.0,508,1250000.0
0,147,2016.0,0,1,7,1,58600.0,498,1350000.0
0,85,2019.0,0,4,7,1,20000.0,508,1250000.0
0,301,2020.0,0,4,7,1,42050.0,76,2225000.0
0,160,2015.0,0,4,2,1,65017.0,293,475000.0
0,14,2008.0,0,1,8,3,80000.0,278,600000.0
0,101,2021.0,0,4,7,1,30000.0,67,2450000.0
0,107,2020.0,0,4,7,1,20000.0,371,1625000.0
0,251,2014.0,0,1,8,1,36349.0,400,1650000.0
1,89,2009.0,0,4,2,4,80000.0,228,249000.00000000003
1,236,2014.0,0,4,7,3,83394.0,309,630000.0
0,9,2016.0,0,1,7,3,30000.0,387,2599000.0
1,89,2009.0,0,4,2,4,80000.0,228,249000.00000000003
1,156,2017.0,0,4,2,1,52204.0,296,385000.0
1,90,2012.0,0,4,2,4,110000.0,278,300000.0
0,51,2017.0,0,1,7,1,89000.0,236,2975000.0
1,155,2014.0,0,4,2,3,29813.0,251,276000.0
1,54,2018.0,0,4,2,1,30000.0,396,500000.0
0,172,2020.0,0,4,2,1,13345.0,51,730000.0
0,71,2022.0,0,1,7,1,17100.0,87,2245000.0
1,77,2014.0,0,4,2,1,75000.0,320,399000.0
1,89,2011.0,0,4,2,3,75523.0,229,312000.0
1,147,2015.0,0,1,7,1,47000.0,498,1275000.0
1,256,2022.0,0,1,7,1,36500.0,321,1990000.0
1,243,2020.0,0,4,4,1,28253.0,508,719000.0
1,73,2016.0,0,1,7,1,50000.0,421,1260000.0
1,89,2010.0,0,4,2,3,90000.0,319,300000.0
0,23,2016.0,0,1,7,3,70000.0,236,3981000.0
1,90,2016.0,0,4,2,1,52571.0,320,627000.0
0,14,2010.0,0,1,8,3,70000.0,278,1300000.0
1,63,2015.0,0,4,8,1,61993.0,469,672000.0
0,84,2017.0,0,1,7,1,57000.0,466,1825000.0
1,285,2021.0,0,1,7,3,80000.0,9,3500000.0
1,90,2013.0,0,4,2,1,36359.0,320,440000.00000000006
1,256,2019.0,0,1,7,3,70000.0,322,1460000.0
0,122,2022.0,0,4,7,1,7500.0,78,2041000.0
0,86,2017.0,0,4,8,1,30301.0,450,1033000.0
1,89,2010.0,0,4,2,1,66000.0,228,275000.0
1,90,2017.0,0,4,2,1,56010.0,320,676000.0
0,206,2017.0,0,1,7,1,47000.0,236,4290000.0
1,229,2014.0,0,1,7,3,60000.0,310,650000.0
1,179,2014.0,0,1,2,1,83829.0,220,444000.00000000006
0,238,2020.0,0,4,2,1,10000.0,344,510000.0
0,236,2016.0,0,1,7,3,35000.0,465,925000.0
0,63,2019.0,0,4,8,3,51116.0,469,1024000.0
1,249,2016.0,0,1,8,4,80000.0,236,500000.0
0,300,2017.0,0,4,2,3,40000.0,393,995000.0
0,62,2012.0,0,4,7,3,85565.0,475,935000.0
1,50,2018.0,0,4,7,1,36916.0,396,834000.0
1,300,2015.0,0,1,2,1,90000.0,381,560000.0
1,179,2012.0,0,4,2,1,112795.0,287,454000.0
0,190,2021.0,0,4,8,1,11000.0,323,3690000.0
1,289,2014.0,0,4,4,3,120000.0,8,1100000.0
1,61,2016.0,0,4,2,3,36685.0,475,462000.0
0,80,2012.0,0,1,7,3,120000.0,201,900000.0
0,18,2022.0,0,4,8,1,4000.0,416,7900000.0
0,157,2019.0,0,4,2,3,32184.0,455,843000.0
1,158,2018.0,0,4,2,1,32279.0,195,799000.0
1,90,2015.0,0,4,2,1,59698.0,320,576000.0
1,235,2018.0,0,1,7,1,46071.0,313,949000.0
1,183,2017.0,0,1,7,1,90000.0,218,795000.0
1,85,2019.0,0,4,7,1,9554.0,508,1085000.0
0,101,2022.0,0,4,7,1,14000.0,67,2590000.0
1,236,2013.0,0,1,7,3,74499.0,464,516000.0
0,50,2017.0,0,4,7,3,56211.0,396,777000.0
1,66,2019.0,0,4,2,1,9001.0,476,753000.0
0,147,2017.0,0,1,7,3,65457.0,498,1226000.0
1,66,2017.0,0,4,2,1,23682.0,476,725000.0
1,86,2020.0,0,1,8,1,50000.0,426,1150000.0
1,179,2015.0,0,1,2,3,134557.0,220,629000.0
1,180,2013.0,0,4,8,3,96567.0,508,447000.0
1,160,2015.0,0,4,2,4,120000.0,293,400000.0
1,165,2014.0,0,1,4,3,83007.0,220,786000.0
1,66,2018.0,0,4,2,1,34000.0,476,745000.0
0,77,2014.0,0,4,2,1,81634.0,320,490000.00000000006
0,63,2017.0,0,4,8,3,57284.0,469,942000.0
0,50,2016.0,0,4,7,3,70000.0,396,675000.0
1,61,2013.0,0,4,2,3,70000.0,475,330000.0
0,295,2018.0,0,4,8,3,46429.0,70,875000.0
1,157,2017.0,0,4,2,1,17624.0,455,869000.0
1,305,2012.0,0,1,8,3,100000.0,203,425000.0
1,63,2019.0,0,4,8,1,30000.0,469,1070000.0
1,50,2018.0,0,4,7,3,49690.0,396,1025000.0
1,147,2016.0,0,1,7,1,110000.0,498,1000000.0
1,43,2009.0,0,4,8,1,50000.0,257,375000.0
1,43,2009.0,0,4,8,1,50000.0,257,375000.0
0,50,2018.0,0,4,7,1,55702.0,396,844000.0
1,91,2016.0,0,1,2,1,45046.0,418,764000.0
1,175,2014.0,0,4,2,3,53000.0,289,420000.0
1,157,2016.0,0,1,2,1,94695.0,220,684000.0
1,157,2019.0,0,4,2,1,22162.0,455,802999.9999999999
1,82,2010.0,0,4,2,3,70000.0,345,320000.0
1,63,2017.0,0,1,8,1,115331.0,468,803999.9999999999
0,200,2013.0,0,1,8,3,70000.0,278,1400000.0
1,179,2016.0,0,4,2,3,42233.0,287,548000.0
1,77,2019.0,0,4,2,1,20941.0,320,619000.0
1,183,2018.0,0,1,7,3,50000.0,218,1000000.0
1,69,2018.0,0,4,7,1,46602.0,476,865000.0
0,141,2014.0,0,1,7,3,50000.0,350,1000000.0
1,179,2014.0,0,1,2,3,104000.0,220,535000.0
1,50,2018.0,0,1,7,1,90000.0,380,975000.0
1,157,2017.0,0,4,2,1,50035.0,455,699000.0
1,265,2021.0,0,4,7,1,80000.0,60,1150000.0
1,90,2015.0,0,4,2,3,90000.0,320,625000.0
0,200,2011.0,0,1,8,2,90000.0,179,1000000.0
1,281,2011.0,0,1,8,1,120000.0,363,600000.0
1,180,2015.0,0,4,8,1,25170.0,508,675000.0
1,163,2021.0,0,4,8,1,25022.0,301,893000.0
1,179,2012.0,0,1,2,3,100000.0,220,420000.0
1,163,2020.0,0,4,8,1,26367.0,301,941000.0
0,75,2015.0,0,4,8,3,76567.0,242,630000.0
1,289,2013.0,0,1,4,3,120000.0,159,1275000.0
0,77,2015.0,0,4,2,3,36459.0,320,525000.0
1,178,2016.0,0,1,7,1,93725.0,218,750000.0
0,163,2016.0,0,4,8,3,115599.0,478,632000.0
1,180,2015.0,0,4,8,1,43469.0,508,645000.0
1,56,2005.0,0,4,8,2,70000.0,278,500000.0
0,23,2019.0,0,1,7,3,77000.0,413,6795000.0
1,183,2018.0,0,1,7,1,100000.0,218,850000.0
1,220,2008.0,0,4,8,1,72000.0,278,299000.0
0,99,2013.0,0,1,8,1,77000.0,237,2095000.0
0,10,2013.0,0,1,7,1,87101.0,431,2800000.0
1,300,2021.0,0,4,2,3,40771.0,24,999000.0
1,66,2018.0,0,4,2,1,28000.0,476,825000.0
1,184,2008.0,0,4,2,4,40000.0,252,250000.0
0,85,2020.0,0,4,7,1,26000.0,314,1295000.0
1,184,2012.0,0,4,2,1,76032.0,289,329000.0
1,163,2018.0,0,4,8,1,113780.0,479,666000.0
0,1,2019.0,0,1,8,1,24000.0,381,2290000.0
