transmission,model,Year of Manufacture,City,Fuel Type,bt,Ownership,Kms Driven,Engine Type
Manual,Maruti Celerio,2015.0,Bangalore,Petrol,Hatchback,Third Owner,120000.0,K10B Engine
Manual,Ford Ecosport,2018.0,Bangalore,Petrol,SUV,Second Owner,32706.0,Ti-VCT Petrol Engine
Manual,Tata Tiago,2018.0,Bangalore,Petrol,Hatchback,First Owner,11949.0,Revotron Engine
Manual,Hyundai Xcent,2014.0,Bangalore,Petrol,Sedan,First Owner,17794.0,Kappa VTVT Petrol Engine
Manual,Maruti SX4 S Cross,2015.0,Bangalore,Diesel,SUV,First Owner,60000.0,DDiS 200 Diesel Engine
Manual,Jeep Compass,2020.0,Bangalore,Diesel,SUV,First Owner,20000.0,2.0-Litre 4-Cyl Multijet II Engine
Manual,Datsun GO,2017.0,Bangalore,Petrol,Hatchback,First Owner,37772.0,Petrol Engine
Automatic,Hyundai Venue,2021.0,Bangalore,Petrol,SUV,First Owner,30000.0,
Automatic,Maruti Ciaz,2018.0,Bangalore,Petrol,Sedan,First Owner,37000.0,k15B VVT Engine
Manual,Tata Tiago,2017.0,Bangalore,Petrol,Hatchback,First Owner,11949.0,Revotron Engine
Manual,Maruti Baleno,2018.0,Bangalore,Petrol,Hatchback,First Owner,50000.0,VVT Petrol Engine
Automatic,Hyundai Grand i10,2019.0,Bangalore,Petrol,Hatchback,First Owner,24887.0,Kappa VTVT Petrol Engine
Automatic,Honda Jazz,2018.0,Bangalore,Petrol,Hatchback,First Owner,23000.0,i-VTEC Petrol Engine
Automatic,Tata Tiago,2018.0,Bangalore,Petrol,Hatchback,First Owner,48928.0,Revotron Engine
Manual,Mahindra XUV500,2014.0,Bangalore,Diesel,SUV,Third Owner,108862.0,mHawk Diesel Engine
Manual,Jeep Compass,2018.0,Bangalore,Diesel,SUV,First Owner,80000.0,2.0-Litre 4-Cyl Multijet II Engine
Automatic,Mercedes-Benz GLA,2022.0,Bangalore,Diesel,SUV,First Owner,16000.0,
Manual,Hyundai i20,2014.0,Bangalore,Diesel,Hatchback,Second Owner,65376.0,U2 CRDI Diesel Engine
Manual,Tata Nexon,2022.0,Bangalore,Petrol,SUV,First Owner,10000.0,1.2l Turbocharged Revotron Engine
Manual,Honda City,2016.0,Bangalore,Petrol,Sedan,Second Owner,67000.0,i VTEC Engine
Automatic,BMW 5 Series,2011.0,Bangalore,Diesel,Sedan,Third Owner,100000.0,In-Line Engine
Manual,Maruti Swift,2016.0,Bangalore,Petrol,Hatchback,First Owner,18083.0,K Series Dual jet
Manual,Renault Duster,2020.0,Bangalore,Petrol,SUV,First Owner,30000.0,1.5L Petrol
Manual,Tata Tiago,2016.0,Bangalore,Petrol,Hatchback,Second Owner,57634.0,Revotron Engine
Automatic,Mercedes-Benz S-Class,2016.0,Bangalore,Petrol,Sedan,Second Owner,50000.0,V-Type Petrol Engine
Manual,Honda City,2015.0,Bangalore,Petrol,Sedan,First Owner,110000.0,i VTEC Engine
Automatic,Hyundai Santro,2018.0,Bangalore,Petrol,Hatchback,First Owner,23447.0,1.1 litre Petrol Engine
Manual,Hyundai Santro Xing,2009.0,Bangalore,LPG,Hatchback,Second Owner,30000.0,Bifuel Engine
Automatic,Mercedes-Benz E-Class,2017.0,Bangalore,Petrol,Sedan,First Owner,33000.0,In-Line Petrol Engine
Manual,Mahindra XUV500,2014.0,Bangalore,Diesel,SUV,Second Owner,87667.0,mHawk Diesel Engine
Automatic,Audi A4,2016.0,Bangalore,Diesel,Sedan,Second Owner,40000.0,TDI Diesel Engine
Manual,Mahindra XUV500,2014.0,Bangalore,Diesel,SUV,Second Owner,79012.0,mHawk Diesel Engine
